iter	Logloss
0	0.555650794
1	0.4671060313
2	0.3987252372
3	0.3476140751
4	0.3217957775
5	0.301110783
6	0.2779493154
7	0.2595861684
8	0.2489960949
9	0.2310242031
10	0.2209172693
11	0.2146735576
12	0.2076986088
13	0.2022817624
14	0.1938214509
15	0.1861441239
16	0.1806667636
17	0.1763323671
18	0.1723292096
19	0.1698559708
20	0.1668152424
21	0.1636591728
22	0.1609073663
23	0.1581740764
24	0.1553051279
25	0.1535356652
26	0.1513705639
27	0.1497952953
28	0.1481848889
29	0.1464468678
30	0.1442918718
31	0.1429635871
32	0.141373273
33	0.1397939883
34	0.1390101273
35	0.1373467771
36	0.1361702866
37	0.1347569057
38	0.1328216458
39	0.1313247444
40	0.1305667925
41	0.1290907771
42	0.1277882949
43	0.1266809546
44	0.1255723704
45	0.1247146796
46	0.1229449681
47	0.1224790419
48	0.1213765233
49	0.1210791783
50	0.1207790019
51	0.1197291783
52	0.1194460733
53	0.1191040655
54	0.118485587
55	0.1172949394
56	0.1162445234
57	0.1153967721
58	0.1143158385
59	0.1134931197
60	0.1130982393
61	0.1129838221
62	0.1125636604
63	0.1121785656
64	0.111987191
65	0.111481092
66	0.1105874577
67	0.1102524515
68	0.1087144058
69	0.107704826
70	0.1064883404
71	0.1063267015
72	0.1053186144
73	0.1049919602
74	0.1045079676
75	0.1043509963
76	0.1028197152
77	0.1016675819
78	0.1007770515
79	0.1005290606
80	0.1004079854
81	0.1003047398
82	0.09895077107
83	0.09879105136
84	0.09812623966
85	0.09719714763
86	0.09695887121
87	0.09602006474
88	0.09481439531
89	0.09408323513
90	0.09400838058
91	0.09310604475
92	0.09247045339
93	0.09148656359
94	0.09084966316
95	0.09079855569
96	0.09043420472
97	0.08927428796
98	0.08921481067
99	0.08873667036
