iter	Passed	Remaining
0	1	190
1	3	186
2	5	188
3	8	205
4	10	200
5	12	194
6	14	196
7	16	192
8	18	185
9	20	183
10	22	181
11	24	176
12	25	173
13	27	169
14	29	164
15	30	161
16	32	157
17	34	159
18	36	155
19	38	152
20	40	152
21	42	149
22	43	146
23	45	143
24	47	142
25	49	141
26	51	138
27	53	137
28	55	135
29	57	133
30	58	130
31	60	128
32	62	126
33	64	124
34	65	121
35	67	119
36	69	118
37	70	115
38	72	113
39	74	111
40	75	109
41	77	107
42	79	104
43	81	103
44	83	101
45	84	99
46	86	97
47	88	96
48	90	94
49	92	92
50	93	90
51	95	88
52	97	86
53	98	84
54	100	82
55	102	80
56	104	78
57	105	76
58	107	74
59	109	72
60	110	70
61	112	69
62	114	67
63	115	65
64	117	63
65	119	61
66	120	59
67	122	57
68	124	55
69	126	54
70	128	52
71	130	50
72	131	48
73	133	46
74	135	45
75	137	43
76	139	41
77	141	39
78	142	37
79	144	36
80	146	34
81	147	32
82	150	30
83	152	28
84	153	27
85	155	25
86	156	23
87	158	21
88	160	19
89	162	18
90	164	16
91	165	14
92	167	12
93	169	10
94	171	9
95	172	7
96	174	5
97	176	3
98	177	1
99	179	0
